id,cluster
FKID000004,2
FKID000005,-1
FKID000007,0
FKID000011,0
FKID000013,-1
FKID000014,-1
FKID000020,-1
FKID000025,-1
FKID000026,2
FKID000028,2
FKID000029,2
FKID000032,2
FKID000044,-1
FKID000062,-1
FKID000078,2
FKID000079,0
FKID000089,-1
FKID000093,-1
FKID000096,-1
FKID000098,-1
FKID000100,0
FKID000101,2
FKID000108,-1
FKID000109,-1
FKID000111,-1
FKID000114,2
FKID000116,-1
FKID000123,-1
FKID000126,-1
FKID000132,-1
FKID000133,2
FKID000135,7
FKID000141,-1
FKID000142,-1
FKID000143,-1
FKID000151,-1
FKID000153,-1
FKID000155,-1
FKID000156,-1
FKID000159,-1
FKID000161,2
FKID000162,2
FKID000163,-1
FKID000164,-1
FKID000165,-1
FKID000166,-1
FKID000167,-1
FKID000171,-1
FKID000172,6
FKID000173,-1
FKID000174,-1
FKID000180,-1
FKID000185,-1
FKID000188,-1
FKID000189,0
FKID000191,0
FKID000192,-1
FKID000193,-1
FKID000194,-1
FKID000196,-1
FKID000199,0
FKID000200,0
FKID000201,-1
FKID000202,-1
FKID000204,-1
FKID000209,-1
FKID000211,-1
FKID000212,-1
FKID000213,-1
FKID000218,-1
FKID000223,2
FKID000225,-1
FKID000226,2
FKID000231,-1
FKID000232,2
FKID000233,2
FKID000234,2
FKID000235,2
FKID000236,2
FKID000237,2
FKID000238,2
FKID000239,-1
FKID000240,2
FKID000244,-1
FKID000245,2
FKID000252,-1
FKID000253,-1
FKID000254,-1
FKID000255,-1
FKID000259,3
FKID000264,2
FKID000285,2
FKID000287,-1
FKID000289,2
FKID000291,-1
FKID000292,-1
FKID000293,2
FKID000296,2
FKID000298,-1
FKID000300,-1
FKID000302,2
FKID000303,-1
FKID000305,-1
FKID000307,2
FKID000308,2
FKID000309,-1
FKID000310,-1
FKID000311,-1
FKID000312,-1
FKID000314,4
FKID000315,4
FKID000316,2
FKID000317,2
FKID000318,4
FKID000319,4
FKID000320,2
FKID000324,2
FKID000325,2
FKID000327,7
FKID000329,4
FKID000331,-1
FKID000332,7
FKID000333,-1
FKID000334,0
FKID000338,0
FKID000340,-1
FKID000341,-1
FKID000343,7
FKID000344,7
FKID000345,7
FKID000346,0
FKID000351,1
FKID000353,1
FKID000354,1
FKID000357,4
FKID000359,-1
FKID000360,2
FKID000364,2
FKID000367,2
FKID000368,-1
FKID000370,-1
FKID000371,-1
FKID000372,-1
FKID000373,-1
FKID000374,-1
FKID000375,-1
FKID000376,-1
FKID000382,5
FKID000383,5
FKID000384,-1
FKID000387,-1
FKID000388,-1
FKID000389,-1
FKID000390,-1
FKID000391,-1
FKID000392,-1
FKID000393,-1
FKID000396,-1
FKID000397,-1
FKID000398,-1
FKID000399,0
FKID000403,2
FKID000404,0
FKID000405,2
FKID000407,0
FKID000408,-1
FKID000409,-1
FKID000410,0
FKID000411,2
FKID000412,2
FKID000413,2
FKID000414,3
FKID000415,3
FKID000416,3
FKID000417,3
FKID000418,3
FKID000419,0
FKID000421,3
FKID000422,3
FKID000423,3
FKID000424,2
FKID000425,3
FKID000426,2
FKID000427,3
FKID000428,3
FKID000429,3
FKID000430,3
FKID000431,3
FKID000432,3
FKID000433,2
FKID000434,2
FKID000435,-1
FKID000437,-1
FKID000438,2
FKID000439,-1
FKID000441,-1
FKID000444,-1
FKID000447,2
FKID000448,2
FKID000455,-1
FKID000456,-1
FKID000457,-1
FKID000458,3
FKID000459,3
FKID000460,3
FKID000461,3
FKID000463,2
FKID000464,2
FKID000465,3
FKID000469,-1
FKID000471,2
FKID000472,-1
FKID000474,-1
FKID000475,3
FKID000478,-1
FKID000479,-1
FKID000480,-1
FKID000481,-1
FKID000484,2
FKID000485,3
FKID000486,3
FKID000489,2
FKID000494,6
FKID000495,3
FKID000496,5
FKID000497,2
FKID000499,0
FKID000500,0
FKID000501,-1
FKID000503,-1
FKID000504,-1
FKID000505,-1
FKID000506,2
FKID000507,-1
FKID000508,0
FKID000509,-1
FKID000511,-1
FKID000512,-1
FKID000513,-1
FKID000514,-1
FKID000516,-1
FKID000517,-1
FKID000518,-1
FKID000519,2
FKID000520,-1
FKID000521,-1
FKID000522,-1
FKID000523,-1
FKID000524,-1
FKID000525,-1
FKID000529,2
FKID000530,-1
FKID000532,2
FKID000535,2
FKID000536,-1
FKID000542,-1
FKID000543,-1
FKID000545,-1
FKID000546,7
FKID000547,-1
FKID000552,-1
FKID000553,-1
FKID000554,2
FKID000556,2
FKID000558,2
FKID000560,-1
FKID000563,-1
FKID000565,-1
FKID000566,-1
FKID000568,4
FKID000569,7
FKID000570,4
FKID000571,4
FKID000573,2
FKID000576,3
FKID000577,3
FKID000578,2
FKID000579,2
FKID000580,-1
FKID000581,-1
FKID000582,-1
FKID000587,-1
FKID000591,2
FKID000592,2
FKID000593,2
FKID000595,-1
FKID000597,2
FKID000598,2
FKID000599,6
FKID000600,4
FKID000602,2
FKID000603,-1
FKID000604,-1
FKID000605,6
FKID000606,-1
FKID000607,-1
FKID000608,-1
FKID000609,-1
FKID000610,-1
FKID000611,4
FKID000612,-1
FKID000613,-1
FKID000614,-1
FKID000615,-1
FKID000617,-1
FKID000618,-1
FKID000619,-1
FKID000620,-1
FKID000621,-1
FKID000622,-1
FKID000623,6
FKID000624,-1
FKID000640,-1
FKID000645,4
FKID000649,2
FKID000653,-1
FKID000654,-1
FKID000656,2
FKID000657,2
FKID000658,2
FKID000660,2
FKID000661,2
FKID000664,-1
FKID000665,-1
FKID000667,-1
FKID000668,-1
FKID000669,-1
FKID000672,-1
FKID000673,-1
FKID000674,-1
FKID000675,-1
FKID000677,-1
FKID000678,-1
FKID000681,-1
FKID000682,-1
FKID000683,-1
FKID000684,-1
FKID000685,-1
FKID000686,-1
FKID000687,-1
FKID000688,-1
FKID000689,-1
FKID000691,-1
FKID000692,-1
FKID000693,-1
FKID000694,-1
FKID000695,-1
FKID000696,2
FKID000697,2
FKID000698,2
FKID000699,2
FKID000700,2
FKID000702,2
FKID000703,-1
FKID000704,2
FKID000705,2
FKID000706,-1
FKID000707,-1
FKID000708,-1
FKID000712,-1
FKID000715,-1
FKID000716,-1
FKID000719,2
FKID000720,2
FKID000721,-1
FKID000722,2
FKID000723,2
FKID000724,-1
FKID000725,-1
FKID000727,-1
FKID000728,2
FKID000729,2
FKID000732,-1
FKID000733,2
FKID000734,-1
FKID000736,-1
FKID000737,-1
FKID000743,-1
FKID000744,-1
FKID000745,-1
FKID000746,-1
FKID000747,-1
FKID000751,2
FKID000752,-1
FKID000754,2
FKID000755,2
FKID000756,-1
FKID000757,-1
FKID000758,-1
FKID000761,0
FKID000762,2
FKID000764,-1
FKID000765,2
FKID000766,-1
FKID000768,-1
FKID000769,-1
FKID000770,-1
FKID000772,-1
FKID000774,-1
FKID000775,-1
FKID000785,2
FKID000799,6
FKID000800,-1
FKID000801,6
FKID000803,-1
FKID000805,6
FKID000806,-1
FKID000808,6
FKID000809,6
FKID000810,6
FKID000811,6
FKID000812,6
FKID000814,6
FKID000818,-1
FKID000819,-1
FKID000821,-1
FKID000826,-1
FKID000827,4
FKID000828,-1
FKID000829,-1
FKID000830,-1
FKID000831,-1
FKID000832,-1
FKID000833,-1
FKID000834,-1
FKID000838,-1
FKID000840,-1
FKID000842,-1
FKID000844,-1
FKID000849,-1
FKID000852,0
FKID000853,0
FKID000854,2
FKID000856,2
FKID000857,2
FKID000858,-1
FKID000860,-1
FKID000861,-1
FKID000862,-1
FKID000864,2
FKID000865,-1
FKID000866,2
FKID000867,-1
FKID000868,2
FKID000869,-1
FKID000870,-1
FKID000872,6
FKID000873,2
FKID000876,6
FKID000877,6
FKID000879,-1
FKID000880,-1
FKID000881,6
FKID000882,-1
FKID000884,6
FKID000885,-1
FKID000887,6
FKID000888,2
FKID000889,2
FKID000890,6
FKID000891,6
FKID000892,-1
FKID000900,-1
FKID000901,-1
FKID000902,2
FKID000903,-1
FKID000906,-1
FKID000910,-1
FKID000911,-1
FKID000916,-1
FKID000919,-1
FKID000920,-1
FKID000922,0
FKID000923,0
FKID000925,-1
FKID000931,0
FKID000933,0
FKID000934,0
FKID000958,3
FKID000959,3
FKID000960,5
FKID000962,5
FKID000963,4
FKID000964,-1
FKID000965,4
FKID000967,4
FKID000971,-1
FKID000975,2
FKID000977,-1
FKID000979,2
FKID000980,-1
FKID000981,5
FKID000982,-1
FKID000984,-1
FKID000985,-1
FKID000986,0
FKID000988,0
FKID000989,-1
FKID000990,-1
FKID000991,-1
FKID000993,-1
FKID000995,-1
FKID000996,-1
FKID000998,-1
FKID000999,-1
FKID001000,-1
FKID001002,0
FKID001003,-1
FKID001004,2
FKID001006,-1
FKID001008,-1
FKID001009,-1
FKID001011,-1
FKID001012,-1
FKID001014,-1
FKID001015,-1
FKID001016,-1
FKID001017,-1
FKID001018,-1
FKID001019,-1
FKID001020,-1
FKID001021,-1
FKID001022,-1
FKID001023,-1
FKID001024,-1
FKID001025,-1
FKID001026,-1
FKID001027,-1
FKID001028,-1
FKID001030,-1
FKID001031,-1
FKID001032,-1
FKID001033,-1
FKID001034,5
FKID001036,-1
FKID001037,-1
FKID001043,-1
FKID001047,-1
FKID001048,-1
FKID001050,-1
FKID001051,2
FKID001053,2
