id,latitude,longitude,location,vehicle_number,vehicle_type,description,violation_type,offence_code,created_datetime,closed_datetime,modified_datetime,device_id,created_by_id,center_code,police_station,data_sent_to_scita,junction_name,action_taken_timestamp,data_sent_to_scita_timestamp,updated_vehicle_number,updated_vehicle_type,validation_status,validation_timestamp
FKID243407,12.983545,77.604065,"Central Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL194952,CAR,,"[""WRONG PARKING""]",[112],2024-01-14 09:48:46+00,,2024-01-14 10:03:44.490255+00,FKDEV01263,FKUSR00180,16.0,Shivajinagar,False,BTP211 - Central Street Junction,,,,,,
FKID078487,12.9605991,77.5798265,"5th Cross Road, Kalasipalyam New Extension, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL67970,GOODS AUTO,,"[""WRONG PARKING""]",[112],2024-02-28 21:38:46+00,,2024-02-28 22:27:04.592793+00,FKDEV01068,FKUSR01019,28.0,City Market,True,BTP167 - JC Road Junction,,,,,,
FKID131121,12.9681065,77.588517,"Kasturba Road, Hudson Circle, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL109326,MOTOR CYCLE,,"[""NO PARKING""]",[113],2023-11-25 22:42:46+00,,2023-11-27 19:52:08.744829+00,FKDEV01266,FKUSR01209,12.0,Halasuru Gate,True,BTP076 - Hudson Circle,,,FKN00GL109326,MOTOR CYCLE,rejected,2023-12-01 02:32:19.709+00
FKID287004,12.9738655,77.6076295,"Brigade Road, ACR Towers, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL225309,SCOOTER,,"[""WRONG PARKING""]",[112],2023-12-25 08:59:46+00,,2023-12-25 09:11:26.605267+00,FKDEV01525,FKUSR01447,8.0,Ashok Nagar,True,No Junction,,,FKN00GL225309,SCOOTER,approved,2023-12-25 19:30:27.385+00
FKID080146,12.8724044,77.654576,"3rd Cross Road, Venkateshwara Layout, Manjunatha Nagar, Parappana Agrahara, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL69264,CAR,,"[""WRONG PARKING""]",[112],2024-02-24 01:49:46+00,,2024-02-29 09:16:57.714405+00,FKDEV01281,FKUSR01225,38.0,Electronic City,False,No Junction,,,,,,
FKID014804,13.0454777,77.5056357,"Nelagadaranahalli Main Road, Nelakadirena Halli, T Dasarahalli, Bengaluru, Karnataka. Pin-560073 (India)",FKN00GL13928,PASSENGER AUTO,,"[""WRONG PARKING""]",[112],2024-01-24 05:54:46+00,,2024-01-24 05:57:47.385006+00,FKDEV00794,FKUSR00762,20.0,Peenya,True,No Junction,,,FKN00GL13928,PASSENGER AUTO,approved,2024-01-28 00:38:51.627+00
FKID029163,12.9388826,77.6964035,"Panathur Main Road, Indiqube Alpha, Reddy Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL26716,SCOOTER,,"[""PARKING IN A MAIN ROAD"",""NO PARKING""]","[107,113]",2024-02-08 04:59:46+00,,2024-02-08 05:15:28.85854+00,FKDEV00766,FKUSR00737,13.0,HAL Old Airport,True,No Junction,,,,,,
FKID065005,12.99858,77.6932533,"6th Cross Road, Singayyanapalya, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",FKN00GL56928,LGV,,"[""WRONG PARKING""]",[112],2024-02-23 20:16:46+00,,2024-02-23 20:27:17.620607+00,FKDEV00985,FKUSR00265,84.0,Mahadevapura,True,No Junction,,,,,,
FKID088885,13.0081582,77.5549522,"GP Rajarathnam Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",FKN00GL76304,SCOOTER,,"[""NO PARKING""]",[113],2024-03-04 08:06:46+00,,2024-03-04 21:31:34.773788+00,FKDEV01758,FKUSR00316,19.0,Malleshwaram,True,"BTP001 - 10th Cross, Dr. Rajkumar Road",,,,,,
FKID286106,12.996152700068828,77.66811279525635,"Old Madras Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",FKN00GL224629,CAR,,"[""NO PARKING"",""PARKING IN A MAIN ROAD""]","[113,107]",2023-12-24 09:19:46+00,,2023-12-24 10:07:21.072089+00,FKDEV00031,FKUSR00031,34.0,Banaswadi,True,No Junction,,,FKN00GL224629,CAR,rejected,2023-12-25 00:06:09.344+00
FKID088221,12.9839674,77.6035435,"Central Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL19294,PASSENGER AUTO,,"[""WRONG PARKING""]",[112],2024-03-04 05:32:46+00,,2024-03-04 06:04:08.531524+00,FKDEV00324,FKUSR00323,16.0,Shivajinagar,True,BTP211 - Central Street Junction,,,,,,
FKID047433,13.0054824,77.5698391,"15th Cross Road, Malleshwara Extension, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",FKN00GL42471,PASSENGER AUTO,,"[""WRONG PARKING""]",[112],2024-04-02 23:51:46+00,,2024-04-03 00:21:13.956918+00,FKDEV00501,FKUSR00492,19.0,Malleshwaram,False,No Junction,,,,,,
FKID168047,12.9976413,77.5493184,"Padmabhushan Dr MC Modi Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",FKN00GL138925,CAR,,"[""NO PARKING""]",[113],2023-11-20 02:24:46+00,,2023-11-20 03:30:36.879956+00,FKDEV00233,FKUSR00232,30.0,Vijayanagara,True,BTP027 - Modi Bridge Junction,,,FKN00GL138925,CAR,approved,2023-11-20 21:11:21.767+00
